# i 	s 	L 		u 	S 	I 	
1000 	74 	0.094227 	15997 	0 	14 	
1000 	75 	0.096565 	14997 	0 	12 	
1000 	75 	0.09125 	14997 	0 	13 	
1000 	75 	0.096978 	13998 	0 	12 	
1000 	76 	0.099867 	26996 	0 	22 	
1000 	76 	0.099903 	15997 	0 	13 	
1000 	76 	0.098106 	13998 	0 	11 	
1000 	76 	0.088204 	12998 	0 	10 	
1000 	77 	0.099842 	14997 	0 	12 	
1000 	77 	0.097217 	29995 	0 	24 	
1000 	77 	0.09933 	20996 	0 	17 	
1000 	78 	0.087234 	15997 	0 	12 	
1000 	78 	0.097674 	16997 	0 	13 	
1000 	78 	0.098948 	23996 	0 	19 	
1000 	79 	0.095547 	23996 	0 	18 	
1000 	79 	0.096464 	26995 	0 	21 	
1000 	79 	0.097583 	18997 	0 	14 	
1000 	79 	0.091922 	27995 	0 	21 	
1000 	80 	0.098297 	23996 	0 	18 	
1000 	80 	0.097702 	22996 	0 	17 	
1000 	80 	0.098452 	17997 	0 	13 	
1000 	81 	0.093141 	15997 	0 	11 	
1000 	81 	0.095308 	17997 	0 	12 	
1000 	81 	0.097608 	18997 	0 	14 	
1000 	82 	0.097546 	19997 	0 	14 	
1000 	82 	0.099586 	19997 	0 	14 	
1000 	82 	0.098384 	42993 	1000 	31 	
1000 	82 	0.092016 	23996 	0 	17 	
1000 	83 	0.096198 	22996 	0 	16 	
1000 	83 	0.094295 	13998 	0 	9 	
1000 	83 	0.095659 	19997 	0 	14 	
1000 	84 	0.092088 	20996 	0 	14 	
1000 	84 	0.099665 	32995 	0 	22 	
1000 	84 	0.094836 	17997 	0 	12 	
1000 	85 	0.097102 	16998 	0 	11 	
1000 	85 	0.097296 	18998 	0 	12 	
1000 	85 	0.095585 	21997 	0 	14 	
1000 	85 	0.096745 	21997 	1000 	15 	
1000 	86 	0.094757 	11998 	0 	7 	
1000 	86 	0.096926 	37994 	0 	24 	
1000 	86 	0.099823 	31995 	0 	20 	
1000 	87 	0.097683 	13998 	0 	8 	
1000 	87 	0.098763 	35994 	0 	22 	
1000 	87 	0.094145 	23996 	0 	15 	
1000 	88 	0.086007 	14998 	0 	9 	
1000 	88 	0.097593 	29996 	0 	18 	
1000 	88 	0.098428 	14997 	0 	9 	
1000 	88 	0.097304 	49992 	0 	31 	
1000 	89 	0.09861 	21997 	0 	13 	
1000 	89 	0.099741 	51993 	0 	31 	
1000 	89 	0.093576 	19997 	0 	12 	
1000 	90 	0.098116 	18997 	0 	11 	
1000 	90 	0.093639 	20997 	0 	12 	
1000 	90 	0.096123 	16998 	0 	10 	
1000 	91 	0.091368 	12998 	0 	7 	
1000 	91 	0.091819 	22997 	0 	13 	
1000 	91 	0.097743 	17997 	0 	10 	
1000 	91 	0.095609 	19997 	0 	11 	
1000 	92 	0.093795 	26996 	2000 	16 	
1000 	92 	0.099613 	10999 	0 	6 	
1000 	92 	0.089425 	21997 	0 	12 	
1000 	93 	0.093147 	34995 	0 	19 	
1000 	93 	0.095453 	25996 	0 	14 	
1000 	93 	0.095944 	44993 	1000 	25 	
1000 	94 	0.098742 	32995 	1000 	18 	
1000 	94 	0.095004 	35995 	0 	19 	
1000 	94 	0.097569 	21997 	1000 	12 	
1000 	94 	0.098601 	26996 	0 	14 	
1000 	95 	0.097771 	27995 	0 	15 	
1000 	95 	0.09851 	34995 	0 	18 	
1000 	95 	0.097403 	37995 	0 	20 	
1000 	96 	0.088466 	29996 	0 	15 	
1000 	96 	0.098953 	25996 	0 	13 	
1000 	96 	0.099487 	44994 	2000 	24 	
1000 	97 	0.092886 	45993 	0 	23 	
1000 	97 	0.097118 	27996 	0 	14 	
1000 	97 	0.092604 	35995 	0 	18 	
1000 	97 	0.098709 	39994 	0 	20 	
1000 	98 	0.095886 	31995 	0 	15 	
1000 	98 	0.096657 	43994 	0 	22 	
1000 	98 	0.098722 	28996 	0 	14 	
1000 	99 	0.090013 	21997 	0 	10 	
1000 	99 	0.09246 	24996 	0 	12 	
1000 	99 	0.099908 	28995 	0 	14 	
1000 	100 	0.087968 	27996 	0 	13 	
1000 	100 	0.09933 	14998 	1000 	7 	
1000 	100 	0.097192 	23997 	0 	11 	
1000 	100 	0.094999 	37995 	1000 	18 	
1000 	101 	0.097828 	27995 	0 	13 	
1000 	101 	0.099649 	28996 	0 	13 	
1000 	101 	0.09751 	19997 	0 	12 	
1000 	102 	0.090375 	15997 	0 	9 	
1000 	102 	0.092264 	23997 	0 	14 	
1000 	102 	0.093775 	22997 	0 	14 	
1000 	103 	0.094287 	30996 	0 	18 	
1000 	103 	0.095612 	25996 	0 	15 	
1000 	103 	0.098865 	30995 	0 	18 	
1000 	103 	0.094445 	20997 	0 	12 	
1000 	104 	0.097498 	32995 	0 	19 	
1000 	104 	0.090737 	22996 	0 	13 	
1000 	104 	0.099088 	47993 	1000 	21 	
1000 	105 	0.095223 	26996 	0 	11 	
1000 	105 	0.099852 	26996 	0 	11 	
1000 	105 	0.098069 	49993 	0 	21 	
1000 	106 	0.098321 	23996 	0 	10 	
1000 	106 	0.098822 	24996 	0 	10 	
1000 	106 	0.097591 	23997 	0 	10 	
1000 	106 	0.092454 	28996 	0 	12 	
1000 	107 	0.096675 	36995 	0 	15 	
1000 	107 	0.099646 	50992 	0 	21 	
1000 	107 	0.097589 	31995 	0 	13 	
1000 	108 	0.094287 	26996 	1000 	11 	
1000 	108 	0.099723 	36995 	0 	14 	
1000 	108 	0.089717 	24996 	0 	10 	
1000 	109 	0.094094 	35995 	0 	14 	
1000 	109 	0.094362 	54992 	0 	22 	
1000 	109 	0.090868 	27996 	0 	11 	
1000 	109 	0.099012 	65990 	0 	29 	
1000 	110 	0.091478 	33995 	1000 	15 	
1000 	110 	0.08927 	28996 	1000 	13 	
1000 	110 	0.099208 	50993 	0 	22 	
1000 	111 	0.099967 	46993 	0 	20 	
1000 	111 	0.093887 	27996 	0 	12 	
1000 	111 	0.091404 	23996 	0 	10 	
1000 	112 	0.093875 	42994 	0 	18 	
1000 	112 	0.099172 	31995 	0 	13 	
1000 	112 	0.099058 	52992 	0 	22 	
1000 	112 	0.092087 	28996 	0 	12 	
1000 	113 	0.099261 	46993 	0 	19 	
1000 	113 	0.095801 	46993 	0 	19 	
1000 	113 	0.099334 	75988 	0 	31 	
1000 	114 	0.096818 	44993 	0 	18 	
1000 	114 	0.097792 	42993 	0 	17 	
1000 	114 	0.099116 	36994 	0 	15 	
1000 	115 	0.091791 	35995 	0 	14 	
1000 	115 	0.088968 	30995 	0 	12 	
1000 	115 	0.099013 	37994 	0 	15 	
1000 	115 	0.096173 	27996 	0 	11 	
1000 	116 	0.098198 	40994 	999 	16 	
1000 	116 	0.090608 	36995 	0 	14 	
1000 	116 	0.097207 	65990 	1000 	26 	
1000 	117 	0.098827 	63990 	1000 	25 	
1000 	117 	0.095302 	34995 	0 	13 	
