# i 	s 	L 		u 	S 	I 	
1000 	69 	0.096715 	42993 	0 	53 	
1000 	69 	0.09273 	55991 	0 	68 	
1000 	69 	0.095745 	25996 	0 	32 	
1000 	70 	0.098433 	36994 	0 	44 	
1000 	70 	0.09187 	14997 	0 	17 	
1000 	70 	0.099175 	54991 	0 	67 	
1000 	70 	0.088562 	72989 	0 	86 	
1000 	71 	0.094423 	40994 	0 	48 	
1000 	71 	0.095462 	56991 	0 	65 	
1000 	71 	0.098903 	60990 	0 	65 	
1000 	72 	0.098674 	31995 	0 	33 	
1000 	72 	0.0946 	75988 	0 	79 	
1000 	72 	0.094136 	29995 	0 	31 	
1000 	73 	0.092334 	34994 	0 	35 	
1000 	73 	0.098182 	48992 	0 	48 	
1000 	73 	0.096281 	39994 	0 	40 	
1000 	73 	0.098051 	56991 	0 	58 	
1000 	74 	0.092114 	130980 	0 	129 	
1000 	74 	0.091918 	55992 	1000 	56 	
1000 	74 	0.098318 	22996 	1000 	23 	
1000 	75 	0.094601 	52992 	0 	45 	
1000 	75 	0.096294 	102985 	0 	88 	
1000 	75 	0.099199 	58991 	0 	50 	
1000 	76 	0.094851 	42993 	0 	35 	
1000 	76 	0.090405 	73988 	1000 	62 	
1000 	76 	0.098954 	50993 	0 	42 	
1000 	76 	0.08992 	91986 	0 	76 	
1000 	77 	0.089653 	49992 	0 	40 	
1000 	77 	0.095304 	45993 	0 	37 	
1000 	77 	0.379812 	1222814 	0 	1000 	
1000 	78 	0.096955 	31995 	0 	25 	
1000 	78 	0.091524 	62991 	0 	49 	
1000 	78 	0.097122 	51993 	0 	41 	
1000 	79 	0.095027 	43994 	1000 	34 	
1000 	79 	0.095271 	41993 	0 	32 	
1000 	79 	0.08745 	42993 	0 	33 	
1000 	79 	0.090779 	374943 	0 	305 	
1000 	80 	0.096438 	84988 	0 	70 	
1000 	80 	0.096023 	52992 	0 	43 	
1000 	80 	0.099901 	35994 	0 	29 	
1000 	81 	0.089169 	36995 	1000 	30 	
1000 	81 	0.095359 	64990 	0 	52 	
1000 	81 	0.091999 	48992 	1000 	40 	
1000 	82 	0.098611 	57992 	0 	46 	
1000 	82 	0.089173 	250962 	0 	200 	
1000 	82 	0.092544 	49993 	0 	39 	
1000 	82 	0.097285 	64991 	1000 	52 	
1000 	83 	0.093134 	41994 	0 	32 	
1000 	83 	0.095433 	119981 	0 	89 	
1000 	83 	0.093909 	46993 	0 	36 	
1000 	84 	0.088654 	90987 	0 	68 	
1000 	84 	0.092636 	50993 	0 	38 	
1000 	84 	0.087601 	43994 	0 	33 	
1000 	85 	0.095756 	58991 	0 	43 	
1000 	85 	0.097284 	79988 	1000 	66 	
1000 	85 	0.091186 	51992 	0 	42 	
1000 	85 	0.098639 	55992 	999 	46 	
1000 	86 	0.098024 	110984 	1000 	89 	
1000 	86 	0.09324 	78988 	0 	63 	
1000 	86 	0.093565 	60990 	0 	48 	
1000 	87 	0.094463 	48993 	0 	38 	
1000 	87 	0.096172 	61991 	0 	48 	
1000 	87 	0.095271 	78988 	0 	61 	
1000 	88 	0.097183 	68990 	0 	50 	
1000 	88 	0.095892 	52992 	0 	40 	
1000 	88 	0.099566 	86987 	0 	65 	
1000 	88 	0.095653 	96986 	0 	73 	
1000 	89 	0.096142 	84987 	0 	63 	
1000 	89 	0.098612 	93985 	0 	69 	
1000 	89 	0.095653 	199970 	0 	148 	
1000 	90 	0.096071 	65990 	0 	48 	
1000 	90 	0.094822 	55992 	0 	44 	
1000 	90 	0.087774 	47993 	0 	38 	
1000 	91 	0.097384 	114982 	1000 	89 	
1000 	91 	0.092849 	115983 	0 	88 	
1000 	91 	0.09998 	65990 	0 	50 	
1000 	91 	0.096747 	51992 	0 	40 	
1000 	92 	0.090727 	58991 	0 	44 	
1000 	92 	0.097951 	114983 	0 	86 	
1000 	92 	0.097878 	80988 	0 	60 	
1000 	93 	0.09559 	119981 	0 	89 	
1000 	93 	0.091591 	95986 	0 	71 	
1000 	93 	0.091014 	115983 	0 	86 	
1000 	94 	0.095822 	51992 	0 	37 	
1000 	94 	0.088406 	126981 	0 	92 	
1000 	94 	0.088509 	89987 	0 	65 	
1000 	94 	0.094204 	57992 	0 	42 	
1000 	95 	0.091329 	41994 	0 	30 	
1000 	95 	0.099175 	121982 	0 	85 	
1000 	95 	0.094931 	62991 	0 	45 	
1000 	96 	0.088929 	67990 	0 	47 	
1000 	96 	0.099739 	117983 	1000 	82 	
1000 	96 	0.098972 	36995 	1000 	26 	
1000 	97 	0.096714 	75989 	0 	52 	
1000 	97 	0.090569 	67990 	999 	47 	
1000 	97 	0.093696 	145978 	0 	100 	
1000 	97 	0.095954 	124981 	1999 	84 	
1000 	98 	0.096898 	111983 	0 	75 	
1000 	98 	0.099502 	163975 	0 	111 	
1000 	98 	0.097955 	92986 	0 	63 	
1000 	99 	0.095549 	73989 	0 	49 	
1000 	99 	0.097237 	39994 	0 	26 	
1000 	99 	0.095012 	56992 	0 	37 	
1000 	100 	0.096502 	59991 	0 	38 	
1000 	100 	0.098371 	141979 	0 	90 	
1000 	100 	0.096472 	51992 	0 	33 	
1000 	100 	0.096087 	90987 	0 	58 	
1000 	101 	0.099938 	57991 	1000 	37 	
1000 	101 	0.09836 	78988 	0 	50 	
1000 	101 	0.097386 	112983 	0 	72 	
1000 	102 	0.096976 	78988 	0 	49 	
1000 	102 	0.099376 	149978 	0 	90 	
1000 	102 	0.091119 	68989 	1000 	43 	
1000 	103 	0.09585 	83987 	0 	51 	
1000 	103 	0.097897 	102984 	0 	62 	
1000 	103 	0.091166 	65990 	0 	40 	
1000 	103 	0.090712 	63991 	0 	38 	
1000 	104 	0.091124 	49993 	0 	29 	
1000 	104 	0.09507 	74989 	0 	44 	
1000 	104 	0.268972 	1733737 	1000 	1000 	
1000 	105 	0.092779 	129980 	0 	75 	
1000 	105 	0.098318 	170974 	0 	97 	
1000 	105 	0.09923 	73989 	0 	43 	
1000 	106 	0.096401 	64990 	0 	37 	
1000 	106 	0.094555 	126981 	1000 	74 	
1000 	106 	0.099828 	102984 	0 	59 	
1000 	106 	0.098649 	79988 	0 	46 	
1000 	107 	0.096509 	75989 	1000 	43 	
1000 	107 	0.092538 	103984 	1000 	58 	
1000 	107 	0.091563 	71989 	0 	40 	
1000 	108 	0.095762 	69989 	0 	38 	
1000 	108 	0.093656 	79988 	0 	44 	
1000 	108 	0.096222 	61991 	1000 	34 	
1000 	109 	0.091654 	65990 	1000 	36 	
1000 	109 	0.092572 	79988 	0 	43 	
1000 	109 	0.097925 	66990 	0 	36 	
1000 	109 	0.089004 	73989 	0 	40 	
1000 	110 	0.09502 	142978 	0 	74 	
1000 	110 	0.094779 	90986 	0 	48 	
1000 	110 	0.088103 	65990 	1000 	35 	
1000 	111 	0.098646 	85987 	1000 	45 	
1000 	111 	0.097175 	73989 	0 	39 	
1000 	111 	0.097286 	69989 	1000 	37 	
1000 	112 	0.088511 	91986 	0 	47 	
1000 	112 	0.097766 	99985 	0 	51 	
1000 	112 	0.094322 	78988 	1000 	40 	
1000 	112 	0.091075 	68990 	0 	35 	
1000 	113 	0.096609 	94986 	0 	47 	
1000 	113 	0.097268 	100984 	1000 	51 	
1000 	113 	0.098957 	112983 	0 	56 	
1000 	114 	0.0934 	62990 	0 	31 	
1000 	114 	0.094456 	109984 	999 	55 	
1000 	114 	0.09293 	102984 	0 	51 	
1000 	115 	0.094695 	94986 	0 	44 	
1000 	115 	0.098943 	98985 	0 	48 	
1000 	115 	0.094565 	175973 	2000 	86 	
1000 	115 	0.099462 	114983 	0 	56 	
1000 	116 	0.091115 	110983 	0 	53 	
1000 	116 	0.09277 	125981 	0 	60 	
1000 	116 	0.091851 	207968 	0 	99 	
1000 	117 	0.098167 	107984 	0 	50 	
1000 	117 	0.0891 	128981 	0 	60 	
1000 	117 	0.095247 	130980 	1000 	61 	
1000 	118 	0.097853 	74988 	0 	34 	
1000 	118 	0.095173 	93986 	0 	43 	
1000 	118 	0.093877 	131980 	0 	59 	
1000 	118 	0.094099 	82987 	0 	38 	
1000 	119 	0.097755 	101984 	1000 	46 	
1000 	119 	0.094562 	67990 	0 	30 	
1000 	119 	0.095686 	162975 	0 	74 	
1000 	120 	0.095784 	190971 	1000 	85 	
1000 	120 	0.093285 	90986 	0 	40 	
1000 	120 	0.094046 	123981 	0 	55 	
1000 	121 	0.093025 	140978 	0 	62 	
1000 	121 	0.099754 	61990 	1000 	27 	
